r1,r2,IdealDifference,PracticalDifference,DoubleIdeal,DoublePractical,SingleIdeal,SinglePractical
0.000000000000000000e+00,2.999999999999999889e-01,-7.160321728538770003e+01,-4.686001428525599977e+01,1.786718831880048981e+02,2.945138884521865634e+02,2.502751004733925981e+02,3.413739027374425632e+02
1.000000000000000000e+00,1.300000000000000044e+00,-4.040840673445545406e+01,-2.156630453718796048e+01,1.102504106272286180e+02,1.763097849386353175e+02,1.506588173616840720e+02,1.978760894758232780e+02
2.000000000000000000e+00,2.299999999999999822e+00,-3.418786817339275785e+01,-1.732375261335926098e+01,9.758806381612853897e+01,1.535260087850246578e+02,1.317759319895212968e+02,1.708497613983839187e+02
3.000000000000000000e+00,3.299999999999999822e+00,-2.294640796529238003e+01,-7.461438374737127788e+00,7.386738987958545977e+01,1.124120700762263425e+02,9.681379784487783979e+01,1.198735084509634703e+02
4.000000000000000000e+00,4.299999999999999822e+00,-1.372917830322960242e+01,-3.227733202676034807e+00,4.732157023166902832e+01,6.683335893418446005e+01,6.105074853489863074e+01,7.006109213686049486e+01
5.000000000000000000e+00,5.299999999999999822e+00,-1.396731709668386401e+01,-3.471424382689860977e+00,4.626690394450393029e+01,6.594869397450008819e+01,6.023422104118779430e+01,6.942011835718994917e+01
6.000000000000000000e+00,6.299999999999999822e+00,-7.681316387984459482e+00,5.212205008799806194e+00,4.876488570090745611e+01,6.868525154472791883e+01,5.644620208889191559e+01,6.347304653592811263e+01
7.000000000000000000e+00,7.299999999999999822e+00,-8.973363177035345473e+00,8.606338088564484678e-01,4.078445621904964469e+01,5.594568294391355323e+01,4.975781939608499016e+01,5.508504913505710476e+01
8.000000000000000000e+00,8.300000000000000711e+00,-3.211880869850112674e+00,6.177155802933825157e+00,3.001540121867612498e+01,3.899605400097078700e+01,3.322728208852623766e+01,3.281889819803696184e+01
9.000000000000000000e+00,9.300000000000000711e+00,-2.030684839764195004e+00,6.638807697277968600e+00,2.739747581513737629e+01,3.449496126763799708e+01,2.942816065490157129e+01,2.785615357036002848e+01
1.000000000000000000e+01,1.030000000000000071e+01,-2.679893095847745599e+00,8.900092665045455931e-01,1.736353502671621030e+01,1.942464807732118359e+01,2.004342812256395590e+01,1.853463881081663800e+01
1.100000000000000000e+01,1.130000000000000071e+01,-1.878359139633673180e+00,2.166857233890873147e+00,1.640945357941998850e+01,1.803047514931220974e+01,1.828781271905366168e+01,1.586361791542133659e+01
1.200000000000000000e+01,1.230000000000000071e+01,-4.784692801724865774e-01,5.286638582355831062e+00,2.191215571025205833e+01,2.760052494341923790e+01,2.239062499042454490e+01,2.231388636106340684e+01
